#regression dataset three feature
# y = 2.2*x1 + 0.8*x2 -1.7*x3 + 3.2 + noise*0.01
x0,x1,x2,y
-0.12,2.44,2.16,1.22
2.27,-1.84,4.05,-0.15
3.68,-1.18,0.6,9.34
-1.0,2.38,-0.06,3.01
2.56,0.95,-3.18,15.01
-0.34,7.21,1.53,5.62
2.98,3.52,5.18,3.77
1.33,3.23,0.09,8.56
0.1,1.29,0.64,3.36
4.23,1.74,1.26,11.76
1.42,2.1,-1.27,10.17
-1.65,2.35,2.7,-3.14
0.46,-2.94,-2.87,6.75
2.83,3.51,3.21,6.78
2.95,0.01,1.1,7.83
1.56,4.44,6.69,-1.19
2.65,5.38,2.18,9.63
0.33,2.26,-2.78,10.47
3.1,-1.68,0.02,8.64
4.46,3.72,0.93,14.41
2.0,-2.52,8.93,-9.59
-0.59,-0.39,0.83,0.18
0.23,1.01,-3.3,10.13
1.36,4.46,5.78,-0.06
-0.76,0.4,1.92,-1.41
5.43,2.82,3.3,11.79
0.9,3.49,2.48,3.76
2.02,3.52,0.0,10.47
3.38,-1.83,2.14,5.54
1.78,2.25,8.83,-6.09
1.3,4.16,1.3,7.18
0.42,1.43,7.3,-7.14
2.11,-0.97,4.17,-0.02
3.63,2.2,2.05,9.47
1.65,0.82,2.88,2.59
0.64,5.17,0.65,7.64
3.88,2.43,3.99,6.9
-2.97,2.3,-2.12,2.12
2.18,1.52,5.72,-0.51
1.74,2.45,-0.16,9.26
3.83,2.13,2.44,9.19
3.04,1.31,4.1,3.97
3.5,1.14,3.36,6.11
1.6,2.32,0.39,7.92
3.94,3.18,0.34,13.84
1.02,-2.51,-0.45,4.21
1.51,2.13,-1.07,10.05
-0.62,2.87,1.89,0.92
2.6,-0.31,-3.01,13.79
5.1,0.56,3.31,9.25
1.41,1.18,-0.37,7.88
-0.88,1.26,0.72,1.05
3.91,-2.72,-0.58,10.62
1.61,5.68,0.63,10.22
1.5,-1.91,4.06,-1.93
-0.89,0.25,1.23,-0.65
0.97,4.0,3.97,1.79
-0.11,6.49,3.05,2.97
1.78,6.06,4.46,4.39
-0.08,0.22,5.31,-5.82
6.57,-3.13,-2.87,20.03
2.88,0.94,-0.72,11.52
0.43,1.26,4.67,-2.78
-0.22,3.1,-2.18,8.91
2.91,1.44,3.43,4.93
3.9,-1.7,-0.04,10.49
3.45,3.08,9.08,-2.18
1.53,1.13,3.28,1.9
3.07,1.85,5.4,2.26
2.21,0.03,-1.05,9.88
4.64,1.59,6.67,3.35
2.41,4.77,-1.02,14.06
3.02,0.85,2.52,6.25
3.62,5.63,4.43,8.14
6.17,-0.69,3.62,10.07
1.55,2.02,5.64,-1.36
1.92,-2.44,1.95,2.16
2.3,-1.58,-2.15,10.65
2.53,-2.38,1.84,3.74
0.13,0.51,1.65,1.1
4.77,0.7,7.59,1.36
0.95,-1.42,0.14,3.92
2.9,3.65,6.34,1.72
-0.8,2.32,0.58,2.32
3.72,-2.86,2.13,5.48
1.12,3.6,4.79,0.4
3.34,-0.05,1.79,7.47
0.51,-0.46,1.53,1.35
0.93,0.28,1.82,2.38
2.99,2.8,-0.62,13.08
3.75,-0.0,4.16,4.38
2.49,2.86,1.82,7.88
4.49,2.73,2.96,10.23
1.01,-0.67,3.18,-0.52
4.73,-0.12,3.4,7.73
-0.94,0.15,-0.36,1.87
4.38,-0.17,5.07,4.08
0.52,2.99,1.28,4.56
2.32,-1.79,3.26,1.34
1.16,6.45,2.08,7.38
2.58,1.03,1.34,7.43
-2.08,-1.58,-2.26,1.21
0.6,-1.63,3.3,-2.39
-0.5,2.96,-2.48,8.69
1.33,-0.21,2.55,1.63
5.83,1.07,0.51,16.02
-0.7,1.39,9.07,-12.64
-0.74,-0.45,1.33,-1.05
1.86,2.64,7.7,-3.68
2.62,1.49,5.41,0.97
5.28,2.99,3.36,11.5
2.33,-1.41,0.38,6.56
1.74,2.48,4.12,2.01
1.11,2.69,-2.96,12.83
2.37,-1.81,2.23,3.18
5.98,0.8,0.97,15.35
2.38,0.93,0.67,8.04
3.67,4.11,3.51,8.6
4.17,1.57,2.63,9.16
5.38,3.79,2.52,13.79
0.59,0.77,-0.9,6.65
-0.76,3.71,0.17,4.21
3.37,2.01,1.24,10.12
-0.87,3.1,-1.75,6.74
2.39,3.84,0.28,11.06
-0.36,-0.66,5.09,-6.77
1.26,1.6,4.44,-0.29
3.12,0.69,1.19,8.6
1.29,2.52,9.95,-8.86
0.08,4.76,1.58,4.5
4.69,-2.15,2.77,7.09
0.72,-0.54,2.81,-0.42
-0.67,0.49,3.31,-3.5
0.41,6.44,3.69,2.99
6.53,-2.04,7.07,3.92
2.21,3.75,1.54,8.45
-0.59,5.91,2.38,2.59
3.28,0.62,2.4,6.84
1.71,-1.12,2.56,1.72
2.51,2.06,1.7,7.49
1.73,4.42,0.27,10.09
5.75,0.82,0.84,15.08
-0.31,-1.29,1.53,-1.11
3.93,-0.99,0.26,10.62
-0.15,0.49,3.28,-2.31
3.64,1.74,6.88,0.91
1.0,-0.36,7.47,-7.58
5.97,2.1,6.36,7.2
1.6,-0.47,-0.93,7.93
3.51,1.64,3.4,6.46
1.82,4.4,2.41,6.64
3.87,1.86,1.91,9.96
0.09,1.22,2.85,-0.47
1.96,4.13,5.8,0.97
2.72,3.52,0.3,11.49
0.96,5.61,4.45,2.24
1.03,-4.1,-3.49,8.12
3.75,1.15,2.23,8.59
6.1,-1.17,0.81,14.31
4.05,5.73,1.98,13.33
4.79,1.41,2.1,11.3
1.13,-1.53,1.73,1.53
3.84,0.4,3.27,6.41
1.3,2.65,5.62,-1.37
1.25,3.75,-0.4,9.63
5.48,4.11,3.23,13.06
-0.26,2.72,4.16,-2.26
2.3,-1.29,2.29,3.34
2.32,1.88,2.51,5.55
2.55,-0.86,-1.06,9.93
4.15,4.32,4.81,7.62
4.87,-0.55,2.71,8.88
1.64,1.18,2.32,3.81
-2.69,1.8,1.3,-3.48
1.16,-0.3,4.28,-1.76
4.62,-0.53,1.7,10.05
0.91,-2.0,6.84,-8.02
3.66,4.97,-1.73,18.17
1.85,-1.25,3.64,0.08
0.1,2.39,2.44,1.19
4.46,3.24,2.45,11.45
2.72,2.76,4.95,2.98
2.18,0.93,0.85,7.3
0.82,-0.97,3.08,-1.01
1.88,1.61,-2.76,13.32
0.55,0.38,6.96,-7.12
0.57,0.36,-2.5,9.0
-0.44,1.36,8.77,-11.58
2.75,0.84,-2.72,14.55
2.43,1.34,-0.4,10.3
3.79,2.72,4.64,5.83
-0.42,-2.13,-0.73,1.81
3.61,1.98,-7.53,25.53
1.72,3.88,2.83,5.28
1.71,1.67,0.47,7.5
-0.69,2.47,-2.75,8.34
5.85,-0.21,1.15,13.95
2.56,-0.55,0.17,8.11
-2.63,-0.79,-0.52,-2.33
3.85,1.58,-1.52,15.53
2.47,5.02,5.18,3.85
2.93,-0.59,5.04,0.61
3.36,-0.45,-1.03,11.99
0.76,2.47,6.94,-4.95
4.12,3.13,3.91,8.13
2.54,-3.03,3.07,1.15
3.69,5.82,-1.71,18.89
2.36,3.86,0.32,10.94
1.47,0.79,4.36,-0.34
1.52,6.18,2.96,6.46
1.12,-1.32,-2.3,8.53
7.62,3.17,-0.66,23.63
3.46,4.33,2.29,10.38
0.53,1.91,1.6,3.18
4.83,6.25,1.2,16.79
-3.01,2.06,4.27,-9.03
2.7,1.02,-1.29,12.15
5.99,1.2,-3.85,23.88
1.85,2.8,1.01,7.8
3.93,5.02,1.66,13.04
1.31,7.95,4.06,5.55
4.69,-2.56,1.79,8.43
2.03,3.48,3.07,5.24
2.25,3.84,7.32,-1.22
1.4,0.71,-2.54,11.17
0.99,-2.51,-0.93,4.95
2.09,6.66,3.1,7.86
1.29,1.07,1.31,4.67
0.37,3.48,3.08,1.56
0.9,3.9,-1.72,11.22
2.04,1.12,5.73,-1.15
2.43,1.54,3.38,4.03
2.65,2.8,2.48,7.05
3.2,-3.05,3.87,1.23
-0.17,-1.62,0.68,0.38
2.54,-0.05,1.6,6.04
4.47,1.89,3.81,8.08
-0.02,-0.81,2.24,-1.3
3.18,3.69,3.4,7.37
0.22,3.14,5.16,-2.57
0.18,4.6,2.02,3.84
2.27,2.58,6.32,-0.48
4.4,-1.34,4.24,4.61
4.85,3.76,0.08,16.74
2.97,4.57,3.49,7.46
2.95,2.45,-1.94,14.95
3.65,-1.44,4.47,2.48
-0.63,0.36,5.25,-6.82
2.47,0.57,1.88,5.9
0.67,2.58,1.76,3.75
2.78,4.15,1.5,10.09
1.87,1.53,6.43,-2.39
3.01,2.31,4.08,4.74
3.24,-0.01,1.22,8.25
-0.86,3.41,2.86,-0.82
-0.39,0.35,-0.81,4.0
5.15,2.09,5.15,7.45
4.16,0.21,3.72,6.21
-1.35,-1.14,3.03,-5.83
-1.03,0.16,-0.57,2.04
3.75,0.55,7.05,-0.09
2.93,-0.54,-1.03,10.97
2.39,0.33,1.69,5.85
-0.53,-2.87,-0.38,0.39
5.94,0.32,7.22,4.26
0.38,0.24,-3.61,10.37
0.7,-0.73,3.9,-2.47
-1.71,-1.11,-1.69,1.43
1.26,2.77,-0.1,8.36
2.33,4.28,1.85,8.61
5.42,1.56,1.14,14.44
0.79,2.25,-4.52,14.43
0.28,4.02,-0.64,8.12
1.65,0.35,1.09,5.26
3.4,-3.16,3.24,2.65
0.64,-0.86,3.84,-2.6
0.94,-0.18,-3.66,11.35
1.93,-1.39,4.35,-1.05
-1.39,1.84,-2.87,6.5
1.6,-0.35,-1.61,9.19
1.64,-0.12,0.46,5.94
1.52,1.87,-0.04,8.11
2.75,2.44,-0.07,11.33
3.24,3.78,-3.62,19.52
3.77,2.3,1.34,11.06
1.02,-0.16,-0.56,6.27
1.92,-1.73,0.71,4.84
1.03,2.51,4.49,-0.15
4.5,-0.69,-4.8,20.71
-0.38,-0.88,2.81,-3.11
2.25,0.0,2.39,4.09
2.62,-1.63,0.53,6.76
2.07,0.76,4.61,0.53
1.76,0.08,1.36,4.83
4.52,1.03,3.6,7.86
-1.8,-0.63,6.04,-11.53
-0.49,2.74,-1.09,6.18
2.68,-1.01,1.38,5.94
3.96,-1.17,1.46,8.5
3.13,2.79,1.8,9.26
3.09,-2.33,5.86,-1.82
-1.3,-1.29,-1.33,1.57
-0.14,0.9,1.82,0.52
4.06,3.9,3.32,9.61
-1.2,-0.84,0.18,-0.41
1.11,-1.87,2.23,0.36
3.09,-1.69,-1.3,10.86
0.97,-0.9,1.95,1.3
1.94,2.02,2.53,4.79
0.8,0.59,3.53,-0.56
2.11,2.93,4.75,2.12
0.93,1.21,1.5,3.67
2.75,0.7,-2.11,13.41
1.59,0.23,5.31,-2.14
4.7,1.95,0.57,14.14
4.41,2.25,4.51,7.04
3.39,-3.0,2.34,4.28
0.7,3.09,-4.68,15.17
0.6,3.82,-0.2,7.92
2.95,3.74,0.42,11.98
1.67,0.22,8.01,-6.56
2.16,0.91,-2.53,12.98
2.35,1.87,-0.59,10.87
1.33,-2.99,3.02,-1.39
1.1,2.09,5.65,-2.31
4.89,3.04,7.57,3.52
4.17,5.16,-4.17,23.59
3.33,0.01,4.22,3.36
1.01,3.4,-1.04,9.91
2.56,2.68,9.58,-5.3
2.15,5.96,1.45,10.23
0.25,-2.34,0.91,0.33
3.19,7.06,-0.51,16.73
0.57,3.22,5.04,-1.54
0.73,3.08,-3.23,12.77
4.25,-2.35,2.66,6.15
-0.68,5.53,0.36,5.52
2.43,3.32,3.9,4.58
0.84,0.42,4.43,-2.14
3.48,-1.09,0.69,8.82
-1.18,-1.91,-1.47,1.58
-0.53,-1.06,-0.5,2.04
2.03,0.8,1.15,6.36
3.23,0.28,0.61,9.5
0.44,1.64,7.08,-6.56
0.1,0.41,2.78,-0.97
-1.43,3.97,-3.09,8.49
0.37,4.59,1.85,4.54
-2.42,0.69,2.8,-6.32
1.92,6.68,4.1,5.8
-0.12,2.4,7.57,-8.01
-1.48,3.72,2.44,-1.22
1.71,1.49,3.44,2.31
-0.06,-1.08,-3.32,7.86
1.4,3.75,2.4,5.21
4.01,0.36,2.49,8.08
0.86,3.32,0.06,7.65
0.35,1.71,-4.66,13.26
-0.38,3.2,1.74,1.97
3.04,-0.74,3.39,3.54
-1.61,0.17,-2.59,4.2
2.19,3.97,1.08,9.36
-1.7,0.88,-1.29,2.37
0.45,-0.74,3.83,-2.91
5.15,-2.54,1.3,10.29
5.59,6.91,3.2,15.6
2.71,0.42,-2.57,13.87
1.44,0.38,-0.27,7.14
3.11,3.66,4.98,4.51
-0.45,-1.02,-2.6,5.82
3.58,0.59,3.11,6.27
3.12,5.0,0.02,14.03
1.26,3.39,-0.64,9.77
1.97,0.31,0.3,7.28
0.57,2.69,1.52,4.03
0.2,3.25,5.54,-3.17
2.51,0.49,0.92,7.56
-1.02,0.46,2.61,-3.11
3.68,5.27,3.29,9.92
7.99,1.67,0.82,20.73
0.09,2.37,-3.21,10.76
2.1,1.38,-0.01,8.95
-0.51,0.47,3.31,-3.17
3.97,2.45,-0.71,15.11
2.37,0.07,-0.35,9.07
2.05,0.37,3.14,2.68
1.19,1.95,4.18,0.28
3.7,1.29,4.26,5.13
2.06,1.74,-0.22,9.5
-0.96,0.93,6.75,-9.63
3.24,0.74,-4.3,18.24
0.91,1.24,0.29,5.71
4.26,4.34,-1.05,17.83
0.76,0.59,-1.31,7.57
3.01,2.51,-1.18,13.84
-0.36,2.79,4.42,-2.87
3.71,1.84,2.64,8.35
2.54,-1.73,5.27,-1.55
2.29,-1.28,0.82,5.83
5.15,2.45,-0.41,17.19
3.83,-1.63,6.27,-0.33
5.18,-3.34,2.92,6.96
1.71,3.52,4.46,2.21
0.46,-1.0,5.66,-6.2
1.08,2.15,0.36,6.69
1.55,-0.49,0.18,5.92
1.06,-0.12,-3.34,11.12
0.44,0.23,3.44,-1.49
5.36,5.0,-0.92,20.56
3.89,3.61,3.98,7.88
2.93,-0.22,-2.65,13.98
0.88,-3.76,0.76,0.84
0.72,0.3,6.35,-5.76
2.48,0.57,7.92,-4.34
0.2,1.6,5.56,-4.53
3.64,1.17,-3.56,18.2
3.62,0.1,-0.41,11.95
5.77,-0.55,0.73,14.21
-1.4,-2.99,3.86,-8.83
3.64,2.8,4.2,6.31
2.76,-0.31,-2.95,14.04
-0.74,-0.41,3.59,-4.85
2.55,-2.01,-2.64,11.7
-0.02,-0.02,-0.49,3.98
2.01,-0.99,1.81,3.76
4.88,3.29,3.71,10.27
-2.35,6.2,-0.01,3.01
4.08,2.03,3.05,8.62
2.45,-0.24,6.65,-2.9
2.14,0.11,1.36,5.69
-1.42,0.48,0.24,0.06
1.48,-0.9,1.15,3.79
4.28,1.7,4.22,6.81
2.81,1.57,3.88,4.05
1.35,4.02,0.21,9.04
-2.0,0.86,-1.18,1.5
0.46,2.57,-0.04,6.35
1.06,0.02,4.33,-1.81
0.15,0.0,3.36,-2.18
1.79,0.36,3.29,1.84
5.38,4.9,5.19,10.14
4.71,-0.84,2.35,8.9
0.33,-2.32,-0.57,3.05
3.56,2.67,0.88,11.68
-0.41,2.21,1.39,1.71
3.24,4.6,-2.14,17.65
1.35,3.97,1.32,7.11
0.08,2.04,4.47,-2.58
-0.85,1.25,-2.07,5.85
1.13,0.87,2.94,1.39
2.12,1.16,3.97,2.05
2.51,0.26,3.47,3.04
5.09,1.58,3.3,10.06
4.79,-0.59,-0.43,14.01
0.17,0.57,3.09,-1.22
0.38,3.98,2.64,2.73
4.72,4.6,-0.42,17.99
-0.05,2.71,0.67,4.13
2.41,0.72,2.08,5.55
3.99,4.02,3.24,9.69
-3.38,2.7,2.1,-5.64
4.18,-2.68,1.03,8.5
6.21,-0.5,5.71,6.76
-0.43,1.12,4.08,-3.78
2.15,0.37,-4.14,15.27
4.08,-1.02,1.52,8.78
2.16,0.1,2.8,3.27
1.57,0.91,-4.32,14.73
1.79,4.43,3.04,5.52
3.48,-3.53,4.01,1.22
4.5,3.82,1.12,14.26
-2.13,-2.05,-0.34,-2.55
0.96,1.38,1.41,4.02
2.26,-3.42,4.92,-2.93
1.53,3.77,3.0,4.49
2.82,2.21,2.4,7.09
1.11,3.79,6.22,-1.9
1.85,0.6,4.18,0.65
2.49,3.03,-0.5,11.96
1.89,2.38,4.3,1.96
2.35,3.7,2.76,6.64
4.4,1.3,1.01,12.21
3.72,6.29,1.81,13.34
0.81,0.43,-2.36,9.34
-1.17,-0.21,2.43,-3.66
1.62,-0.37,2.81,1.7
3.9,4.08,0.51,14.18
0.7,0.12,0.71,3.63
3.39,1.86,0.74,10.89
1.98,-4.75,4.16,-3.31
0.43,4.08,0.83,6.01
1.69,5.3,3.76,4.78
1.71,4.62,1.0,8.96
-0.05,-1.92,1.71,-1.35
0.47,3.44,3.19,1.56
2.47,5.99,0.91,11.88
5.75,3.37,-1.76,21.55
0.4,4.43,1.63,4.85
1.57,0.99,2.07,3.93
3.26,5.02,0.31,13.86
0.84,1.86,-2.03,9.99
-1.06,0.54,2.37,-2.72
2.96,-1.31,4.89,0.36
-0.95,-0.8,-2.17,4.17
-0.54,1.84,-3.74,9.84
2.48,3.18,5.89,1.19
3.25,2.8,2.19,8.87
2.69,2.16,-0.58,11.84
2.04,-0.15,1.06,5.78
1.49,0.29,8.07,-7.0
3.85,6.32,-0.13,16.95
-1.25,3.28,3.3,-2.53
0.99,-2.78,-1.54,5.78
2.25,4.0,-2.73,16.0
-0.25,6.83,-3.44,13.96
-0.54,-0.58,1.25,-0.58
1.79,3.52,7.76,-3.23
2.87,0.84,4.27,2.94
4.2,3.63,0.24,14.94
1.97,-1.34,-2.58,10.85
1.51,1.94,3.62,1.92
2.14,2.23,-0.23,10.09
0.82,3.44,2.59,3.36
-0.61,0.62,-4.5,10.01
3.18,0.39,-3.77,16.92
-2.79,0.37,5.34,-11.71
2.65,1.22,3.82,3.51
0.03,-0.58,-0.35,3.4
0.05,4.16,4.1,-0.32
1.54,2.86,1.37,6.55
3.37,-0.21,-2.63,14.92
2.19,-1.1,5.43,-2.09
2.79,2.32,-0.96,12.83
2.9,-1.89,6.04,-2.19
1.82,2.14,-2.3,12.83
6.47,2.04,3.67,12.83
2.7,7.15,6.12,4.46
5.14,2.85,-1.02,18.53
0.42,-1.01,-0.35,3.92
2.47,6.97,4.73,6.17
-2.33,2.36,1.38,-2.38
0.73,2.96,1.31,4.95
3.21,1.3,-5.71,21.01
3.28,4.81,2.76,9.58
3.17,1.93,5.03,3.17
3.71,-0.47,1.65,8.18
-0.59,1.87,2.54,-0.91
1.24,-0.92,6.17,-5.29
-0.2,1.76,-0.42,4.89
2.21,-2.85,-2.34,9.76
0.29,3.22,3.58,0.33
3.67,1.42,2.17,8.73
1.24,0.06,-0.47,6.78
1.02,0.88,0.05,6.06
-0.52,3.75,-0.33,5.62
3.18,0.25,-1.64,13.19
3.42,3.44,3.73,7.14
1.86,-1.01,-1.86,9.65
0.39,2.03,-4.77,13.8
2.25,1.96,5.22,0.85
-0.53,5.4,-1.17,8.34
0.2,2.02,4.77,-2.84
3.08,1.56,-0.62,12.28
-0.61,3.25,1.48,1.94
1.18,0.99,-0.75,7.87
